['28', '1662', 'Friday', '3422349381', '1', 'SPORTING GOODS', '5116']
['28', '1999', 'Friday', '3078640452', '1', 'HOME MANAGEMENT', '8484']
['28', '1999', 'Friday', '7650137519', '1', 'SPORTING GOODS', '5113']
['28', '1999', 'Friday', '78634845401', '2', 'HOME MANAGEMENT', '1200']
['28', '2076', 'Friday', '81742701221', '1', 'SPORTING GOODS', '5705']
['28', '2558', 'Friday', '84900400180', '1', 'SPORTING GOODS', '203']
['28', '2558', 'Friday', '2409934922', '1', 'SPORTING GOODS', '905']
['28', '3000', 'Friday', '7965604971', '1', 'BEAUTY', '6080']
['28', '3000', 'Friday', '84730900591', '1', 'SPORTING GOODS', '104']
['28', '3000', 'Friday', '2267718168', '1', 'SPORTING GOODS', '102']
['28', '3000', 'Friday', '60538804160', '1', 'AUTOMOTIVE', '2014']
['28', '3000', 'Friday', '7965604970', '2', 'BEAUTY', '6080']
['28', '3000', 'Friday', '7965603177', '1', 'BEAUTY', '6080']
['28', '3000', 'Friday', '2863202836', '1', 'SPORTING GOODS', '506']
['28', '3017', 'Friday', '68113147308', '1', 'SPORTING GOODS', '83']
['28', '3089', 'Friday', '75680930997', '1', 'BATH AND SHOWER', '4905']
['28', '3089', 'Friday', '81891401701', '2', 'COOK AND DINE', '3700']
['28', '3089', 'Friday', '4770800046', '1', 'SPORTING GOODS', '602']
['28', '3089', 'Friday', '4770800122', '1', 'SPORTING GOODS', '601']
['28', '3089', 'Friday', '8394105796', '1', 'SPORTING GOODS', '736']
['28', '3754', 'Friday', '61884229314', '1', 'SPORTING GOODS', '5050']
['28', '3754', 'Friday', '71514172928', '1', 'DAIRY', '9020']
['28', '3754', 'Friday', '4011', '1', 'PRODUCE', '5501']
['28', '3754', 'Friday', '7225003712', '1', 'COMM BREAD', '3710']
['28', '3754', 'Friday', '3450015135', '1', 'DAIRY', '1201']
['28', '3754', 'Friday', '7797508822', '1', 'DSD GROCERY', '9254']
['28', '3754', 'Friday', '4300004301', '1', 'GROCERY DRY GOODS', '3308']
['28', '3754', 'Friday', '7874235200', '1', 'DAIRY', '1515']
['28', '3754', 'Friday', '7797508979', '1', 'DSD GROCERY', '9254']
['28', '3754', 'Friday', '68113105079', '1', 'INFANT CONSUMABLE HARDLINES', '9012']
['28', '3754', 'Friday', '61884221886', '1', 'SPORTING GOODS', '5104']
['28', '3754', 'Friday', '88678300087', '1', 'SPORTING GOODS', '5047']
['28', '3754', 'Friday', '3370092209', '1', 'DAIRY', '1307']
['28', '3754', 'Friday', '7707103941', '1', 'SPORTING GOODS', '5106']
['28', '3754', 'Friday', '7707103941', '1', 'SPORTING GOODS', '5106']
['28', '3754', 'Friday', '88678300035', '1', 'SPORTING GOODS', '5050']
['28', '3754', 'Friday', '3370090001', '1', 'DAIRY', '1307']
['28', '4022', 'Friday', '88678300142', '1', 'SPORTING GOODS', '5048']
['28', '4022', 'Friday', '88678300140', '1', 'SPORTING GOODS', '5048']
['28', '5340', 'Friday', '4770805379', '1', 'SPORTING GOODS', '625']
['28', '5340', 'Friday', '68113147314', '1', 'SPORTING GOODS', '86']
['28', '5340', 'Friday', '2863225092', '1', 'SPORTING GOODS', '103']
['28', '5340', 'Friday', '3877504209', '2', 'SPORTING GOODS', '731']
['28', '5340', 'Friday', '4317175156', '1', 'SPORTING GOODS', '3332']
['28', '5811', 'Friday', '7962597182', '1', 'BEAUTY', '5020']
['28', '5811', 'Friday', '81356601643', '1', 'IMPULSE MERCHANDISE', '350']
['28', '5811', 'Friday', '81655901002', '1', 'PERSONAL CARE', '3123']
['28', '5811', 'Friday', '7962507402', '1', 'BEAUTY', '9925']
['28', '5811', 'Friday', '1200000131', '1', 'DSD GROCERY', '9547']
['28', '5811', 'Friday', '7825731904', '1', 'SPORTING GOODS', '5805']
['28', '5811', 'Friday', '7780246031', '1', 'BEAUTY', '2055']
['28', '5811', 'Friday', '3500076469', '1', 'PERSONAL CARE', '203']
['28', '5983', 'Friday', '7825730838', '1', 'SPORTING GOODS', '5806']
['28', '5983', 'Friday', '4000000432', '1', 'IMPULSE MERCHANDISE', '115']
['28', '5983', 'Friday', '3408663825', '1', 'BEDDING', '6015']
['28', '5983', 'Friday', '2840042055', '1', 'IMPULSE MERCHANDISE', '808']
['28', '5983', 'Friday', '1864325610', '1', 'COOK AND DINE', '2061']
['28', '6370', 'Saturday', '7650138008', '1', 'SPORTING GOODS', '5105']
['28', '6370', 'Saturday', '7800008216', '1', 'DSD GROCERY', '9517']
['28', '6717', 'Saturday', '73315854015', '1', 'SPORTING GOODS', '5212']
['28', '6717', 'Saturday', '4300095369', '1', 'DSD GROCERY', '4623']
['28', '6717', 'Saturday', '78035378403', '1', 'PRODUCE', '3601']
['28', '6717', 'Saturday', '73315854013', '1', 'SPORTING GOODS', '5212']
['28', '7087', 'Saturday', '4338810377', '1', 'SPORTING GOODS', '402']
['28', '7087', 'Saturday', '64541671803', '1', 'CELEBRATION', '801']
['28', '7087', 'Saturday', '64541601499', '1', 'CELEBRATION', '36']
['28', '7087', 'Saturday', '3278461379', '1', 'SPORTING GOODS', '202']
['28', '7087', 'Saturday', '4282335551', '1', 'CELEBRATION', '6']
['28', '7087', 'Saturday', '75198100219', '1', 'SPORTING GOODS', '3203']
['28', '7363', 'Saturday', '7825730140', '1', 'SPORTING GOODS', '5816']
['28', '7363', 'Saturday', '7825730140', '1', 'SPORTING GOODS', '5816']
['28', '7831', 'Saturday', '2669177400', '1', 'SPORTING GOODS', '3330']
['28', '7831', 'Saturday', '2202150028', '1', 'SPORTING GOODS', '3302']
['28', '7831', 'Saturday', '1280051772', '1', 'IMPULSE MERCHANDISE', '904']
['28', '7831', 'Saturday', '2202150035', '1', 'SPORTING GOODS', '3302']
['28', '7831', 'Saturday', '2202150034', '1', 'SPORTING GOODS', '3302']
['28', '7831', 'Saturday', '2932696316', '1', 'SPORTING GOODS', '7111']
['28', '7896', 'Saturday', '80648177505', '1', 'SPORTING GOODS', '2262']
['28', '7896', 'Saturday', '78962523234', '1', 'SPORTING GOODS', '2620']
['28', '8315', 'Saturday', '4011', '1', 'PRODUCE', '5501']
['28', '8315', 'Saturday', '3700023679', '1', 'HOUSEHOLD CHEMICALS/SUPP', '9051']
['28', '8315', 'Saturday', '7763306374', '1', 'COMM BREAD', '3725']
